[0 0 0 0 0 0 0 0][0 0 0]left arm
[-5695351 -5650555 -5808033 -4415256 -5583166  7691699 -5353073 -2609321][-112 7504 2512]left arm
[-5736019 -5597336 -5671693 -4384460 -5568026  7697287 -5421741 -2556492][0 0 0]left arm
[-5760617 -5540239 -5553716 -4351866 -5556266  7702105 -5460892 -2524785][0 0 0]left arm
[-5719722 -5590614 -5667384 -4381279 -5568094  7697048 -5404726 -2573327][0 0 0]left arm
[-5687091 -5649869 -5806407 -4420869 -5582824  7691544 -5365531 -2611531][0 0 0]left arm
[-5720228 -5611479 -5705010 -4399471 -5571291  7695766 -5423766 -2567863][0 0 0]left arm
[-5754416 -5543929 -5558241 -4360369 -5556362  7701698 -5477926 -2524196][0 0 0]left arm
[-5722321 -5576321 -5636274 -4379450 -5564369  7698179 -5433989 -2561877][ -64 7536 2496]left arm
[-5681123 -5645414 -5797493 -4424287 -5581372  7691646 -5381447 -2610590][0 0 0]left arm
[-5704266 -5623976 -5737960 -4413748 -5574339  7694251 -5425541 -2578879][0 0 0]left arm
[-5745541 -5550652 -5571064 -4370786 -5557174  7701068 -5491177 -2526099][0 0 0]left arm
[-5724376 -5562965 -5607734 -4378399 -5561335  7699277 -5462555 -2550591][0 0 0]left arm
[-5677661 -5637921 -5780098 -4425684 -5579467  7692150 -5400501 -2606763][0 0 0]left arm
[-5689470 -5634717 -5766381 -4426862 -5577441  7692945 -5428022 -2589283][0 0 0]left arm
[-5734929 -5560384 -5591163 -4383009 -5558960  7700048 -5501024 -2531074][0 0 0]left arm
[-5725742 -5552058 -5584487 -4378649 -5558519  7700126 -5489896 -2540659][0 0 0]left arm
[-5676090 -5627387 -5755612 -4425060 -5576286  7692923 -5422700 -2600199][0 0 0]left arm
[-5675426 -5642614 -5788337 -4438042 -5579473  7691858 -5431936 -2598150][-128 7472 2480]left arm
[-5721842 -5572285 -5616500 -4396379 -5561064  7698883 -5507712 -2538339][0 0 0]left arm
[-5725253 -5543799 -5566028 -4380599 -5556484  7700853 -5515339 -2532479][0 0 0]left arm
[-5676344 -5614525 -5725286 -4423269 -5573098  7694033 -5448074 -2591613][0 0 0]left arm
[-5663551 -5647432 -5801954 -4447200 -5581091  7691124 -5438675 -2605051][0 0 0]left arm
[-5707865 -5585329 -5645888 -4410563 -5564007  7697394 -5512106 -2547700][0 0 0]left arm
[-5723499 -5539466 -5555517 -4384482 -5555105  7701088 -5538121 -2526786][0 0 0]left arm
[-5678184 -5600116 -5692229 -4420481 -5569052  7695109 -5475331 -2581306][0 0 0]left arm
[-5653751 -5648684 -5807036 -4453939 -5581230  7690774 -5448219 -2609324][0 0 0]left arm
[-5692689 -5598778 -5678017 -4424931 -5566865  7696083 -5514707 -2558182][0 0 0]left arm
[-5719347 -5538999 -5552951 -4390431 -5554416  7701200 -5557631 -2523501][-128 7456 2464]left arm
[-5680780 -5585126 -5659490 -4417388 -5565527  7696469 -5503954 -2569823][0 0 0]left arm
[-5646217 -5646993 -5804705 -4458221 -5580933  7690738 -5461031 -2610690][0 0 0]left arm
[-5677153 -5612457 -5712607 -4439026 -5570316  7694601 -5517925 -2569537][0 0 0]left arm
[-5713251 -5543618 -5560388 -4398977 -5555048  7700839 -5582312 -2524207][0 0 0]left arm
[-5684361 -5572462 -5629814 -4416067 -5562636  7697601 -5525446 -2560302][0 0 0]left arm
[-5642074 -5643408 -5794862 -4461732 -5580244  7690849 -5459779 -2611247][0 0 0]left arm
[-5662693 -5626061 -5745484 -4453620 -5574274  7693111 -5500883 -2582551][0 0 0]left arm
[-5705170 -5552571 -5575330 -4410386 -5556707  7700133 -5576492 -2528709][0 0 0]left arm
[-5687491 -5560264 -5602847 -4415986 -5560062  7698753 -5540396 -2551304][0 0 0]left arm
[-5640249 -5635146 -5775598 -4463313 -5578412  7691551 -5463577 -2608825][-144 7440 2464]left arm
[-5649215 -5635912 -5772073 -4466952 -5577497  7691949 -5486924 -2594641][0 0 0]left arm
[-5695137 -5562564 -5595985 -4423332 -5558761  7699027 -5568110 -2535994][0 0 0]left arm
[-5689537 -5549446 -5579255 -4416999 -5557772  7699446 -5554881 -2543425][0 0 0]left arm
[-5640507 -5623839 -5748846 -4463090 -5575625  7692373 -5471463 -2603795][0 0 0]left arm
[-5637391 -5643183 -5791908 -4478493 -5579997  7690863 -5475506 -2605191][0 0 0]left arm
[-5683817 -5574790 -5622555 -4437739 -5561472  7697754 -5557106 -2545800][0 0 0]left arm
[-5690877 -5542764 -5563645 -4420189 -5556100  7699971 -5567564 -2537752][0 0 0]left arm
[-5643204 -5611286 -5719309 -4461867 -5572307  7693373 -5482492 -2596832][0 0 0]left arm
[-5627800 -5647877 -5805701 -4488056 -5581572  7690163 -5466446 -2613579][0 0 0]left arm
[-5671136 -5588602 -5655127 -4452969 -5564647  7696339 -5543086 -2557316][ -80 7488 2496]left arm
[-5689857 -5539881 -5556475 -4425477 -5555132  7700294 -5575902 -2534139][0 0 0]left arm
[-5646504 -5597757 -5688103 -4460172 -5568781  7694601 -5495213 -2587962][0 0 0]left arm
[-5619662 -5649664 -5811422 -4495387 -5582154  7689812 -5459417 -2618986][0 0 0]left arm
[-5656907 -5603334 -5690371 -4468374 -5568247  7694750 -5526336 -2569734][0 0 0]left arm
[-5686186 -5541941 -5558012 -4432982 -5555202  7700133 -5578850 -2533142][0 0 0]left arm
[-5650149 -5583254 -5656959 -4458391 -5565683  7695808 -5509854 -2578189][0 0 0]left arm
[-5613741 -5646986 -5807667 -4500529 -5581941  7689868 -5456691 -2621552][0 0 0]left arm
